NAME,NODE_KIND,details,stingray_bc,stingray_tc,target_core,stim_name,core_a_stim_name,core_a_ns_stim_name,periph_instances,core_mem,data_mem,priority,debug_interface,target_dma,sysclk_src,divcore,divbus,divslow,periph_clk_src,periph_clk_div,periph_clk_cfg,owner,group,stingray_vectors,uvm_test_name,uvm_main_seq,pdm_tickets,postlayout_pdm_tickets,periph_domain
Boot flow/Primary boot and Secondary boot pattern,SECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dual_Internal-CM33_FlexSPI0_NOR-A35_USDHC0_SD,PLANNED_COVERAGE,Typical Dual boot patterns(Boot from pins),,rom_default,,,,,,,,1,,,,,,,,,,Jiamin,sys_boot_rtl,sys_boot,,,,,
Dual-CM33_FlexSPI0_NOR-A35_USDHC0_SD,PLANNED_COVERAGE,Typical Dual boot patterns(Boot from fuse),,rom_default,,,,,,,,1,,,,,,,,,,Jiamin,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR_SND_4MB_Data_Corrupt-A35_USDHC0_SD,PLANNED_COVERAGE,Typical Dual Secondary boot patterns(Boot from fuse),,rom_default,,,,,,,,1,,,,,,,,,,Jiamin,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR_SND_4MB_Ctnr_Corrupt-A35_USDHC0_SD,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Jiamin,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR_SND_4MB_Hash_Corrupt-A35_USDHC0_SD,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Jiamin,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR_Set1_Newer_But_Data_Corrupt-A35_USDHC0_SD,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Jiamin,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR_Set1_Newer-A35_USDHC0_SD,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Jiamin,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR_SND_2MB_Data_Corrupt-A35_USDHC0_SD,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Jiamin,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR_SND_8MB_Data_Corrupt-A35_USDHC0_SD,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Jiamin,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR-A35_USDHC0_SD-FAB,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Shockley,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR-A35_USDHC0_SD-NXP_FR,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Shockley,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR-A35_USDHC0_SD-NXP_PROV,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Shockley,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR-A35_USDHC0_SD-OEM_FR,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Shockley,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR-A35_USDHC0_SD-OEM_LOCKED,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Shockley,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR-A35_USDHC0_SD-OEM_OPEN,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Shockley,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NAND-A35_USDHC0_SD,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Ruxu,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NAND_Mul_Plane_MX35-A35_USDHC0_SD,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Ruxu,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NAND_4K-A35_USDHC0_SD,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Ruxu,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NAND_4K_SND_4MB_Data_Corrupt-A35_USDHC0_SD,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Ruxu,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NAND_SND_4MB_Data_Corrupt-A35_USDHC0_SD,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Ruxu,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NAND_SND_4MB_Ctnr_Corrupt-A35_USDHC0_SD,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Ruxu,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NAND_SND_4MB_Hash_Corrupt-A35_USDHC0_SD,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Ruxu,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NAND_Set1_Newer_But_Data_Corrupt-A35_USDHC0_SD,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Ruxu,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NAND_Set1_Newer-A35_USDHC0_SD,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Ruxu,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NAND_SND_2MB_Data_Corrupt-A35_USDHC0_SD,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Ruxu,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NAND_SND_8MB_Data_Corrupt-A35_USDHC0_SD,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Ruxu,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NAND-A35_USDHC0_SD-FAB,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Ruxu,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NAND-A35_USDHC0_SD-NXP_FR,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Ruxu,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NAND-A35_USDHC0_SD-NXP_PROV,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Ruxu,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NAND-A35_USDHC0_SD-OEM_FR,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Ruxu,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NAND-A35_USDHC0_SD-OEM_LOCKED,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Ruxu,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NAND-A35_USDHC0_SD-OEM_OPEN,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Ruxu,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR_OTFAD-A35_USDHC0_SD,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Jiamin,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR_XIP_OTFAD-A35_USDHC0_SD,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Jiamin,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR_XIP-A35_USDHC0_SD,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Jiamin,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR_XIP_SND_4MB_Data_Corrupt-A35_USDHC0_SD,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Shockley,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR_XIP_SND_4MB_Hash_Corrupt-A35_USDHC0_SD,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Shockley,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR_XIP_SND_4MB_Ctnr_Corrupt-A35_USDHC0_SD,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Shockley,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR_XIP_SND_4MB_Set1_Newer-A35_USDHC0_SD,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Shockley,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR_XIP_SND_4MB_Set1_Newer_But_Data_Corrupt-A35_USDHC0_SD,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Shockley,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR_XIP_SND_2MB_Data_Corrupt-A35_USDHC0_SD,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Shockley,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR_XIP_SND_8MB_Data_Corrupt-A35_USDHC0_SD,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Shockley,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR_XIP-A35_USDHC0_SD-FAB,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Jiamin,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR_XIP-A35_USDHC0_SD-NXP_FR,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Jiamin,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR_XIP-A35_USDHC0_SD-NXP_PROV,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Jiamin,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR_XIP-A35_USDHC0_SD-OEM_FR,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Jiamin,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR_XIP-A35_USDHC0_SD-OEM_OPEN,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Jiamin,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR_OTFAD-A35_USDHC0_SD,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Jiamin,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR_XIP_OTFAD-A35_USDHC0_SD,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Jiamin,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR-A35_USDHC0_eMMC44,PLANNED_COVERAGE,,,rom_default,,,,,,,,1,,,,,,,,,,Shockley,sys_boot_rtl,sys_boot,,,,,
